capitulo,pregunta,respuesta,a,b,c,d,e
c03,La definición clásica del hombre como "animal racional y político" fue propuesta por:,d,Platón,Sócrates,Descartes,Aristóteles,Kant
c03,El Creacionismo Evolucionista fue sostenido por:,e,Marx,Darwin,Nietzsche,Sartre,Teilhard de Chardin
c03,¿Qué teoría afirma que el hombre es una unidad psicosomática sujeta a leyes naturales?,b,Espiritualismo,Naturalismo,Dualismo,Simbolismo,Existencialismo
c03,René Descartes postuló un dualismo en el hombre compuesto por:,a,Materia y pensamiento (cuerpo y alma),Razón y corazón,Instinto y sociedad,Naturaleza e historia,Bien y mal
c03,Para Ernst Cassirer lo fundamental en el hombre es que es un:,c,Animal político,Animal racional,Animal simbólico,Ser para la muerte,Ser social
c03,El existencialismo de Sartre sostiene que en el hombre:,d,La esencia precede a la existencia,El destino está escrito,Todo está determinado por Dios,La existencia precede a la esencia,No hay libertad
c03,Según el marxismo ¿qué determina la conciencia social?,e,El espíritu absoluto,La voluntad individual,La herencia biológica,La idea innata,El ser social
c03,El filósofo que afirmó "el hombre es una enfermedad para la tierra" fue:,b,Spencer,Nietzsche,Marx,Hegel,Pascal
c03,Max Scheler es representante del:,a,Espiritualismo,Naturalismo,Marxismo,Evolucionismo,Pragmatismo
c03,¿Quién sostuvo que "el corazón posee razones que la razón desconoce"?,c,Descartes,Kant,Pascal,Hume,Locke
c03,La postura que afirma que el hombre es su historia y no tiene esencia fija es el:,d,Naturalismo,Dualismo,Simbolismo,Historicismo,Creacionismo
c03,¿Qué filósofo español afirmó "yo soy yo y mis circunstancias"?,e,Unamuno,Savater,Zubiri,Marías,Ortega y Gasset
c03,Según Martín Heidegger el hombre es un:,a,Ser-en-el-mundo,Animal racional,Espíritu puro,Animal evolucionado,Reflejo de Dios
c03,El fijismo es una postura vinculada al:,b,Evolucionismo,Creacionismo,Marxismo,Existencialismo,Historicismo
c03,Para Marx el hombre es un ser concreto que pertenece a:,c,El reino de los cielos,La naturaleza salvaje,Una clase social,El mundo de las ideas,Una realidad virtual
c03,¿Qué filósofo inglés consideró que la evolución es una realidad omnipresente?,d,Locke,Hume,Bacon,Spencer,Hobbes
c03,Según el Espiritualismo la persona tiene autonomía frente a:,e,La sociedad,La razón,La historia,La cultura,Lo orgánico
c04,La gnoseología es la disciplina filosófica que trata sobre:,a,El ser,Los valores,El conocimiento,La belleza,La moral
c04,El componente del acto del conocimiento que capta las cualidades del objeto es:,b,El objeto,El sujeto,La representación,La verdad,El juicio
c04,La característica del conocimiento que indica que es válido para todos los hombres es:,c,Necesario,Objetivo,Universal,Fundamentado,Sensible
c04,El conocimiento "a priori" se caracteriza por:,d,Surgir después de la experiencia,Ser contingente,Depender de los sentidos,Ser universal y necesario,Ser particular
c04,Un juicio en el que el predicado ya está contenido en el sujeto se llama:,a,Analítico,Sintético,A posteriori,Vulgar,Empírico
c04,Según Kant los juicios que aumentan el conocimiento y son universales son los:,e,Analíticos,Sintéticos a posteriori,De percepción,De experiencia,Sintéticos a priori
c04,El conocimiento vulgar u ordinario se caracteriza por ser:,b,Metódico,Empírico y acrítico,Sistemático,Riguroso,Universal
c04,¿Qué tipo de conocimiento es producto de la deducción o inferencia?,c,Sensible,Intuitivo,Racional,Directo,Vulgar
c04,La verdad concebida como correspondencia entre conocimiento y objeto es una teoría de:,d,Platón,Hegel,Kant,Aristóteles,Descartes
c04,La seguridad plena de estar en la verdad se denomina:,a,Evidencia,Certeza,Duda,Fe,Opinión
c04,Si decimos "La ballena es un cetáceo" estamos expresando un:,b,Concepto,Juicio,Razonamiento,Deseo,Mandato
c04,El conocimiento científico se diferencia del vulgar porque es:,c,Espontáneo,Subjetivo,Metódico y sistemático,Acrítico,Inútil
c04,Un conocimiento es "objetivo" cuando:,d,Es aceptado por la mayoría,Es útil para el sujeto,Depende del punto de vista,Representa las características del objeto sin alterarlo,Es una creencia personal
c04,El conocimiento discursivo se produce de forma:,e,Inmediata,Directa,Sensible,Intuitiva,Mediata e intelectual
c04,¿Qué criterio de verdad se basa en las consecuencias beneficiosas o utilidad?,a,Pragmático (Utilidad),Autoridad,Evidencia,Ausencia de contradicción,Práctica
c04,Cuando desaparece la seguridad de la verdad se produce la:,b,Certeza,Duda,Evidencia,Ciencia,Fe
c04,Según Kant la validez "a posteriori" se prueba mediante:,c,El análisis racional,La lógica formal,La experiencia sensible,La definición de conceptos,La intuición pura
c04,La "representación" en el acto de conocimiento es:,d,El objeto físico,El sujeto mismo,La realidad externa,La imagen o concepto mental,La acción de conocer
c04,El enunciado "7 + 5 = 12" es un ejemplo de juicio:,e,Analítico,Sintético a posteriori,Vulgar,De percepción,Sintético a priori
c04,La ausencia de contradicción es un criterio de verdad que busca la:,a,Coherencia,Utilidad,Autoridad,Experiencia,Práctica
c05,¿Qué postura afirma que el sujeto puede captar el objeto tal como es sin cuestionamientos?,a,Dogmatismo,Escepticismo,Criticismo,Relativismo,Pragmatismo
c05,El escepticismo radical niega la posibilidad de:,b,Dudar,Cualquier conocimiento,Opinar,Percibir,Sentir
c05,¿Quién es el autor de la frase "el hombre es la medida de todas las cosas" (Relativismo)?,c,Gorgias,Pirrón,Protágoras,Platón,Sócrates
c05,El Agnosticismo declara imposible el conocimiento de:,d,Los fenómenos,La naturaleza,Las matemáticas,Los entes metafísicos (Dios),La historia
c05,El Racionalismo afirma que la fuente del conocimiento es:,e,La experiencia,Los sentidos,La fe,La práctica,La razón
c05,¿Qué filósofo sostuvo que la mente al nacer es una "tabula rasa" (hoja en blanco)?,a,Locke,Descartes,Leibniz,Spinoza,Platón
c05,El Criticismo (Apriorismo) de Kant propone que el conocimiento surge de:,b,Solo la razón,La síntesis de razón y experiencia,Solo la experiencia,La revelación divina,La intuición mística
c05,Para el Realismo el objeto de conocimiento es:,c,Una creación de la mente,Un conjunto de sensaciones,Independiente de la conciencia,Dependiente del sujeto,Una ilusión
c05,El Idealismo Subjetivo de Berkeley sostiene la tesis:,d,Pienso luego existo,Todo fluye,Ver para creer,Ser es ser percibido,La materia es eterna
c05,El Fenomenalismo plantea que conocemos:,e,Las cosas en sí (noúmenos),La esencia última,Dios,El alma,Los fenómenos (lo que aparece)
c05,La teoría de la verdad como "coherencia" fue sostenida por:,a,Otto Neurath,Aristóteles,William James,Alfred Tarski,Locke
c05,La teoría semántica de la verdad fue defendida por:,b,James,Alfred Tarski,Aristóteles,Hume,Descartes
c05,El Pragmatismo sostiene que un juicio es verdadero si es:,c,Lógico,Coherente,Útil y beneficioso,Eterno,Universal
c05,Según el Positivismo de Comte el único conocimiento válido es el:,d,Religioso,Metafísico,Filosófico,Científico (experimental),Mítico
c05,Descartes es un representante del:,e,Empirismo,Escepticismo,Materialismo,Positivismo,Racionalismo
c05,¿Qué filósofo afirmó que "la experiencia es ciega sin la razón"?,,a,Kant,Hume,Locke,Bacon,Aristóteles
c05,El escepticismo de Pirrón de Elis recomienda:,b,Afirmar todo,Suspender el juicio (epojé),Creer en la ciencia,Confiar en los sentidos,Buscar la utilidad
c05,Para el Empirismo no hay nada en la mente que no haya estado antes en:,c,La razón,Las ideas innatas,Los sentidos,El alma,La lógica
c05,La teoría de la redundancia dice que la verdad:,d,Es correspondencia,Es utilidad,Es coherencia,Solo tiene sentido de énfasis,Es indefinible
c05,David Hume es un representante del:,e,Racionalismo,Dogmatismo,Idealismo objetivo,Realismo ingenuo,Agnosticismo/Empirismo
c06,¿Cuál es la etimología de la palabra epistemología?,a,Episteme (ciencia) y logos (discurso),Episteme (valor) y logos (estudio),Ethos (costumbre) y logos (tratado),Mythos (relato) y logos (razón),Axiós (valioso) y logos (discurso)
c06,¿Qué característica define al conocimiento científico como ordenado?,d,Objetivo,Metódico,Racional,Sistemático,Falible
c06,La característica que indica que las teorías científicas pueden ser refutadas es:,c,Perfectible,Selectivo,Falible,Objetivo,Racional
c06,¿Qué función de la ciencia permite conocer las cualidades y características del objeto?,a,Descripción científica,Explicación científica,Predicción científica,Aplicación científica,Hipótesis científica
c06,¿Qué significa que la ciencia sea metódica?,b,Que elige un tema específico,Que sigue reglas y procedimientos secuenciales,Que se basa en argumentos racionales,Que reproduce el sistema del objeto,Que busca beneficios para el hombre
c06,La indagación de las causas de un fenómeno corresponde a la:,b,Descripción,Explicación,Predicción,Aplicación,Contrastación
c06,¿Cuál es el primer paso del método científico ante la falta de información?,e,Hipótesis,Contrastación,Ley,Teoría,Problema
c06,La propuesta de solución a un problema científico se denomina:,c,Ley,Teoría,Hipótesis,Descripción,Axioma
c06,¿Qué ciencias tienen como objeto de estudio entidades abstractas o formas?,a,Ciencias formales,Ciencias reales,Ciencias fácticas,Ciencias sociales,Ciencias naturales
c06,Las matemáticas y la lógica son ejemplos de ciencias:,d,Sociales,Naturales,Fácticas,Formales,Aplicadas
c06,¿Qué método usan principalmente las ciencias reales o fácticas?,b,Deductivo,Inductivo,Dialéctico,Fenomenológico,Analítico
c06,¿Qué función de la ciencia dio lugar a la tecnología moderna?,d,Descripción,Explicación,Predicción,Aplicación,Teorización
c06,¿Qué es una ley científica?,a,Una proposición verdadera que describe una regularidad natural,Un conjunto de hipótesis verificadas,Una guía de investigación sujeta a prueba,Un uso práctico del conocimiento,Una entidad abstracta e ideal
c06,La física y la química se clasifican como ciencias:,e,Formales,Abstractas,Sociales,Aplicadas,Naturales
c06,¿Qué filósofo austriaco influyó en la metodología de la investigación científica?,c,Thomas Kuhn,Moritz Schlick,Karl Popper,Paul Feyerabend,Ludwig Wittgenstein
c06,El conocimiento científico moderno se fundamenta principalmente en la:,b,Intuición,Experiencia,Autoridad,Metafísica,Religión
c06,¿Qué caracteriza a la ciencia como "selectiva"?,d,Que es infalible,Que es universal,Que busca la verdad absoluta,Que elige un objeto de estudio especializado,Que no acepta críticas
c06,La "investigación que corresponde a las características del objeto" es:,a,Objetiva,Subjetiva,Racional,Sistemática,Metódica
c06,¿Qué permite a la ciencia "adelantarse a los hechos"?,c,La descripción,La explicación,La predicción,La aplicación,La hipótesis
c06,Un conjunto de hipótesis verificadas que explica una estructura compleja es una:,e,Ley,Problema,Axioma,Dato,Teoría
c07,¿Qué grupo inició el neopositivismo en 1924?,b,Escuela de Frankfurt,Círculo de Viena,Escuela Jónica,Academia de Platón,Liceo de Aristóteles
c07,¿Quién fue el fundador del Círculo de Viena?,a,Moritz Schlick,Karl Popper,Thomas Kuhn,Paul Feyerabend,Ludwig Wittgenstein
c07,El criterio de demarcación del neopositivismo es el principio de:,d,Falsación,Inconsistencia,Paradigma,Verificación empírica,Deducción lógica
c07,¿Qué método defiende el neopositivismo para la investigación?,b,Deductivo,Inductivo,Anárquico,Dialéctico,Hipotético
c07,¿Cómo considera Karl Popper que es la mente del investigador?,c,Tábula rasa,Vacía de prejuicios,Tábula plena (con ideas previas),Incapaz de razonar,Pura e intuitiva
c07,¿Qué propuso Karl Popper como criterio de demarcación científica?,a,La falsación,La verificación,El paradigma,El "todo vale",La inducción
c07,Según Popper, la ciencia avanza mediante:,e,Verificaciones constantes,Inducciones repetidas,Dogmas establecidos,Acumulación de datos,Conjeturas y refutaciones
c07,¿Qué autor planteó la teoría de los paradigmas?,d,Karl Popper,Rudolf Carnap,Alfred Ayer,Thomas Kuhn,Paul Feyerabend
c07,Un modelo de ciencia que permite describir fenómenos y métodos se llama:,b,Ley,Paradigma,Anomalía,Falsación,Verificación
c07,¿Cuándo ocurre una "revolución científica" según Kuhn?,c,Cuando se verifica una hipótesis,Cuando nace un científico famoso,Cuando un nuevo paradigma sustituye a uno en crisis,Cuando se usa el método inductivo,Cuando se eliminan las matemáticas
c07,¿Qué epistemólogo defendió el "anarquismo epistemológico"?,e,Karl Popper,Thomas Kuhn,Moritz Schlick,Ludwig Wittgenstein,Paul Feyerabend
c07,¿Cuál es la única regla metodológica de Feyerabend?,a,Todo vale,Solo la inducción,Falsación estricta,Verificación directa,Deducción pura
c07,¿Qué filósofo influyó en el Círculo de Viena con su libro Tractatus?,d,Immanuel Kant,Karl Popper,John Stuart Mill,Ludwig Wittgenstein,Thomas Kuhn
c07,Popper criticó al psicoanálisis porque se defendía con:,b,Leyes universales,Hipótesis ad hoc,Experimentos repetibles,Lógica formal,Verificación empírica
c07,Para Kuhn, el desarrollo de las ciencias es:,c,Lineal,Teleológico,Ateleológico,Estático,Inductivo
c07,Feyerabend sostiene que la violación de normas permite el:,a,Progreso de las ciencias,Retroceso científico,Orden metodológico,Dogmatismo,Fin de la razón
c07,¿Qué corriente valora la metafísica como fuente de conjeturas?,b,Neopositivismo,Racionalismo crítico,Relativismo,Conductismo,Empirismo lógico
c07,Según Kuhn, las "anomalías" en un paradigma producen:,d,Certeza,Leyes,Verificación,Crisis,Aplicación
c07,¿Qué autor destaca la importancia de la historia de la ciencia?,e,Moritz Schlick,Rudolf Carnap,Alfred Ayer,Karl Popper,Thomas Kuhn
c07,El neopositivismo buscaba la idea de una ciencia:,c,Dividida,Metafísica,Unificada,Inexacta,Religiosa
c08,¿Cuál es la etimología de axiología?,a,Axios (valor) y logos (estudio),Ethos (costumbre) y logos (tratado),Episteme (ciencia) y logos (discurso),Ontos (ser) y logos (razón),Pathos (sentimiento) y logos (discurso)
c08,¿En qué experiencia el sujeto se mantiene neutral ante el objeto?,b,Valorativa,Contemplativa,Activa,Religiosa,Ética
c08,¿Cómo se llaman los juicios que solo indican características del objeto?,d,Axiológicos,De valor,Morales,De existencia (ónticos),Estéticos
c08,¿Qué elemento influye en la valoración debido a necesidades o intereses?,c,Factor afectivo,Factor intelectual,Factor activo,Factor religioso,Factor social
c08,La característica del valor que indica que todo valor tiene su opuesto es:,a,Polaridad,Grado,Jerarquía,Objetividad,Subjetividad
c08,Si Javier dice que alguien es "bella" y luego "bellísima", se refiere a:,b,Polaridad,Grado,Jerarquía,Objetividad,Utilidad
c08,¿Qué teoría sostiene que lo valioso es lo placentero?,e,Utilitarismo,Naturalismo,Idealismo,Emotivismo,Hedonismo
c08,Representantes del subjetivismo hedonista:,c,Platón y Max Scheler,Aristóteles y Spencer,Aristipo de Cirene y Epicuro,Bentham y Mill,Alfred Ayer
c08,¿Qué postura afirma que el valor depende del desarrollo de una cultura?,d,Subjetivismo,Objetivismo,Idealismo,Socioculturalismo,Escepticismo
c08,¿Qué teoría axiológica defiende Alfred Ayer?,a,Emotivismo o escepticismo,Naturalismo,Utilitarismo,Hedonismo,Idealismo objetivo
c08,Según el idealismo objetivo, los valores son:,b,Cambiantes,Inmutables y absolutos,Sentimientos pasajeros,Utilidades prácticas,Hechos biológicos
c08,¿Quién clasificó los valores en sensoriales, vitales, espirituales, etc.?,e,Aristóteles,Platón,Immanuel Kant,Karl Popper,Max Scheler
c08,El juicio "El Perú es un país con montañas bellas" es un juicio:,c,De existencia,Óntico,De valor,Científico,Matemático
c08,¿Qué factor de la valoración implica un proceso racional y reflexivo?,b,Afectivo,Intelectual,Activo,Sensorial,Emocional
c08,La jerarquía del valor se refiere a:,d,La intensidad del valor,El opuesto del valor,La captura del valor en el objeto,La importancia de un valor sobre otro,La negación del valor
c08,¿Qué postura sostiene que el valor está en las cosas mismas (mundo real)?,a,Naturalismo,Hedonismo,Idealismo objetivo,Emotivismo,Socioculturalismo
c08,Representante del socioculturalismo mencionado en el texto:,c,Herbert Spencer,Aristóteles,Herbert Marcuse,Max Scheler,John Stuart Mill
c08,¿Qué afirma el utilitarismo sobre lo valioso?,b,Que es lo que produce placer corporal,Que es lo que tiene consecuencias beneficiosas,Que es una idea eterna,Que es una emoción subjetiva,Que es un hecho natural
c08,¿Qué característica indica que el valor es captado en el objeto?,e,Jerarquía,Grado,Polaridad,Subjetividad,Objetividad
c08,¿Qué es el valor según el texto?,d,Una ley física,Un objeto concreto,Un sentimiento puro,Una cualidad asignada en un contexto histórico-social,Una entidad matemática
c09,¿Qué significa etimológicamente la palabra "ética"?,a,Costumbre (ethos),Relato (mythos),Ciencia (episteme),Valor (axios),Discurso (logos)
c09,¿Qué concepto regula la convivencia mediante valores y normas sociales?,b,Ética,Moral,Derecho,Religión,Axiología
c09,El valor moral que exige respeto por la autonomía individual es:,c,Igualdad,Justicia,Libertad,Solidaridad,Dignidad
c09,¿Qué tipo de norma es establecida por el Estado y tiene carácter coactivo?,e,Norma moral,Norma religiosa,Norma social,Norma estética,Norma jurídica
c09,¿Qué caracteriza a la "persona moral"?,d,Ser un infante,Ser un demente,Carecer de libertad,Ser consciente y libre,Actuar por instinto
c09,La capacidad de discernir lo correcto de lo incorrecto es la:,b,Libertad moral,Conciencia moral,Responsabilidad moral,Persona amoral,Justicia
c09,¿Qué teoría sostiene que la felicidad es el fin basado en la razón?,a,Eudemonismo,Hedonismo,Estoicismo,Utilitarismo,Formalismo
c09,¿Quién es el principal representante del eudemonismo?,c,Epicuro,Zenón de Citio,Aristóteles,Jeremías Bentham,Immanuel Kant
c09,Para el estoicismo, el fin de la vida es vivir de acuerdo a:,e,El placer,La utilidad,El dinero,La ley del Estado,La naturaleza y el destino
c09,La "ataraxia" en el estoicismo significa:,b,Búsqueda de fama,Serenidad absoluta e imperturbabilidad,Guerra constante,Acumulación de bienes,Placer sensorial intenso
c09,¿Qué autor fundó la ética formal?,d,Aristóteles,Platón,John Stuart Mill,Immanuel Kant,Séneca
c09,El "imperativo categórico" de Kant ordena una acción como:,a,Fin en sí mismo,Medio para un fin,Forma de obtener placer,Sugerencia opcional,Miedo al castigo
c09,¿Qué tesis niega la libertad del hombre argumentando leyes naturales?,c,Indeterminismo,Autodeterminismo,Determinismo,Eudemonismo,Liberalismo
c09,El utilitarismo busca la mayor felicidad para:,b,Uno mismo solamente,El mayor número de personas,Los gobernantes,Los animales,Los antepasados
c09,¿Qué valor moral se opone a toda forma de discriminación?,e,Justicia,Libertad,Dignidad,Solidaridad,Igualdad
c09,¿Quiénes son considerados personas amorales?,a,Infantes y dementes,Políticos,Filósofos,Científicos,Extranjeros
c09,¿Qué es el "deber" según el texto?,c,Una ley impuesta por la fuerza,Un sentimiento de placer,La obligación de realizar lo bueno por criterio propio,Una regla técnica,Una norma jurídica
c09,La justicia distributiva exige:,d,Devolver favores,Imponer castigos físicos,Ignorar a la sociedad,Equidad social al distribuir bienes,Venganza personal
c09,La ética de la resignación es propia del:,b,Hedonismo,Estoicismo,Eudemonismo,Utilitarismo,Existencialismo
c09,Según Sócrates, el mal es producto de la:,e,Razón,Virtud,Felicidad,Ciencia,Ignorancia
c10,¿Qué significa etimológicamente "mythos"?,a,Relato o narración,Razón o discurso,Costumbre o hábito,Ciencia o saber,Valor o mérito
c10,¿Cuál es la finalidad primordial del mito?,b,Científica,Psicológica (dar sentido a la vida),Económica,Política,Matemática
c10,Los mitos que relatan cómo se creó el mundo se llaman:,c,Teogónicos,Escatológicos,Cosmogónicos,Morales,Heroicos
c10,¿Qué clase de mito explica el origen del bien y del mal?,d,Cosmogónico,Teogónico,Escatológico,Moral,Etiológico
c10,La creencia en un solo Dios se denomina:,e,Animatismo,Politeísmo,Panteísmo,Ateísmo,Monoteísmo
c10,¿Qué diferencia principalmente a la ciencia del mito?,a,Eficacia y verificabilidad,Imaginación y fe,Narración y fantasía,Tradición y autoridad,Miedo y esperanza
c10,¿Dónde surgió la filosofía occidental?,c,Atenas,Esparta,Mileto,Roma,Alejandría
c10,¿Quién es considerado el primer filósofo de la historia?,b,Sócrates,Thales de Mileto,Pitágoras,Platón,Aristóteles
c10,¿Quién fue el primero en llamarse a sí mismo "filósofo"?,d,Anaximandro,Heráclito,Parménides,Pitágoras,Demócrito
c10,¿Qué condición estructural permitió el ocio para filosofar en Grecia?,a,El modo de producción esclavista,La falta de comercio,La guerra constante,La ausencia de leyes,El clima frío
c10,La polis griega fue importante para la filosofía porque fue centro de:,e,Silencio,Combate físico,Sacrificios,Agricultura,Discusión y uso de la palabra
c10,El paso del "mito al logos" significa el paso a la:,b,Imaginación,Razón,Religión,Fantasía,Poesía
c10,El mito de Inkarri es un ejemplo de resistencia en:,c,Grecia,Egipto,Época colonial indígena,Roma,India
c10,Los mitos que cuentan el fin del mundo son:,d,Cosmogónicos,Teogónicos,Morales,Escatológicos,Científicos
c10,¿Qué es el animatismo?,a,Creencia en divinidad de fuerzas naturales,Creencia en muchos dioses humanos,Creencia en un Dios espiritual único,Negación de los dioses,Estudio de los animales
c10,¿Qué relaciona al mito con la ciencia?,b,El método deductivo,La intencionalidad de explicar el mundo,La prueba de laboratorio,El uso de fórmulas,La falta de interés
c10,¿En qué siglos surgió la filosofía occidental?,e,I y II d.C.,XV y XVI d.C.,X y XI a.C.,III y IV a.C.,VII y VI a. n. e.
c10,Thales de Mileto fue fundador de la escuela:,c,Pitagórica,Sofista,Jónica,Eleática,Estoica
c10,¿Qué permite el progreso de la ciencia según el anarquismo epistemológico (visto en c07 pero relacionado aquí)?,a,Violación de las normas del método,Seguir fielmente a los dioses,Usar solo la fe,Evitar la razón,No investigar
c10,La filosofía surge cuando los mitos pierden:,d,Belleza,Antigüedad,Idioma,Fuerza explicativa y credibilidad,Color
